GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Maven plug-in example,com.cnu2016.assignment02,EventGenerator,3,108,0,10,1,21,1,6,1,1
JaCoCo Maven plug-in example,com.cnu2016.assignment02,BadScheduleException,0,4,0,0,0,2,0,1,0,1
JaCoCo Maven plug-in example,com.cnu2016.assignment02,Event,0,9,0,0,0,4,0,1,0,1
JaCoCo Maven plug-in example,com.cnu2016.assignment02,Main.new TimerTask() {...},42,0,2,0,7,0,3,0,2,0
JaCoCo Maven plug-in example,com.cnu2016.assignment02,EventGenerator.new Comparator() {...},0,9,0,0,0,2,0,2,0,2
JaCoCo Maven plug-in example,com.cnu2016.assignment02,Appliance,0,36,0,0,0,13,0,7,0,7
JaCoCo Maven plug-in example,com.cnu2016.assignment02,Main,19,34,0,0,6,6,2,1,2,1
JaCoCo Maven plug-in example,com.cnu2016.assignment02,Appliance.Type,9,39,0,0,0,4,2,2,2,2
